x,q
2.2800000000000002,"(np.float64(0.0), np.float64(0.07585360039843915), np.float64(-0.06130126801003741))"
2.29,"(np.float64(0.0), np.float64(0.07480007817068304), np.float64(-0.060449861509898))"
2.3,"(np.float64(0.0), np.float64(0.07374655594292695), np.float64(-0.05959845500975859))"
2.31,"(np.float64(0.0), np.float64(0.07269303371517084), np.float64(-0.058747048509619176))"
2.32,"(np.float64(0.0), np.float64(0.07163951148741475), np.float64(-0.05789564200947977))"
2.33,"(np.float64(0.0), np.float64(0.07058598925965864), np.float64(-0.05704423550934036))"
2.34,"(np.float64(0.0), np.float64(0.06953246703190255), np.float64(-0.05619282900920095))"
2.35,"(np.float64(0.0), np.float64(0.06847894480414646), np.float64(-0.05534142250906155))"
2.36,"(np.float64(0.0), np.float64(0.06742542257639036), np.float64(-0.05449001600892214))"
2.37,"(np.float64(0.0), np.float64(0.06637190034863426), np.float64(-0.053638609508782735))"
2.38,"(np.float64(0.0), np.float64(0.06531837812087815), np.float64(-0.05278720300864333))"
2.39,"(np.float64(0.0), np.float64(0.06426485589312206), np.float64(-0.05193579650850391))"
2.4,"(np.float64(0.0), np.float64(0.06321133366536595), np.float64(-0.051084390008364504))"
2.41,"(np.float64(0.0), np.float64(0.062157811437609865), np.float64(-0.05023298350822511))"
2.42,"(np.float64(0.0), np.float64(0.061104289209853765), np.float64(-0.049381577008085695))"
2.43,"(np.float64(0.0), np.float64(0.060050766982097666), np.float64(-0.04853017050794629))"
2.44,"(np.float64(0.0), np.float64(0.058997244754341566), np.float64(-0.04767876400780688))"
2.45,"(np.float64(0.0), np.float64(0.057943722526585466), np.float64(-0.04682735750766747))"
2.46,"(np.float64(0.0), np.float64(0.056890200298829366), np.float64(-0.04597595100752806))"
2.4699999999999998,"(np.float64(0.0), np.float64(0.055836678071073266), np.float64(-0.045124544507388654))"
2.48,"(np.float64(0.0), np.float64(0.054783155843317166), np.float64(-0.04427313800724924))"
2.49,"(np.float64(0.0), np.float64(0.053729633615561066), np.float64(-0.04342173150710983))"
2.5,"(np.float64(0.0), np.float64(0.052676111387804966), np.float64(-0.04257032500697042))"
2.51,"(np.float64(0.0), np.float64(0.051622589160048866), np.float64(-0.041718918506831015))"
2.52,"(np.float64(0.0), np.float64(0.05056906693229277), np.float64(-0.04086751200669161))"
2.5300000000000002,"(np.float64(0.0), np.float64(0.04951554470453667), np.float64(-0.04001610550655219))"
2.54,"(np.float64(0.0), np.float64(0.04846202247678057), np.float64(-0.039164699006412784))"
2.55,"(np.float64(0.0), np.float64(0.04740850024902447), np.float64(-0.038313292506273376))"
2.56,"(np.float64(0.0), np.float64(0.04635497802126837), np.float64(-0.03746188600613397))"
2.57,"(np.float64(0.0), np.float64(0.045301455793512274), np.float64(-0.03661047950599457))"
2.58,"(np.float64(0.0), np.float64(0.044247933565756174), np.float64(-0.03575907300585516))"
2.59,"(np.float64(0.0), np.float64(0.043194411338000074), np.float64(-0.03490766650571575))"
2.6,"(np.float64(0.0), np.float64(0.042140889110243974), np.float64(-0.03405626000557634))"
2.61,"(np.float64(0.0), np.float64(0.041087366882487875), np.float64(-0.033204853505436935))"
2.62,"(np.float64(0.0), np.float64(0.040033844654731775), np.float64(-0.03235344700529752))"
2.63,"(np.float64(0.0), np.float64(0.038980322426975675), np.float64(-0.03150204050515811))"
2.64,"(np.float64(0.0), np.float64(0.037926800199219575), np.float64(-0.030650634005018704))"
2.65,"(np.float64(0.0), np.float64(0.036873277971463475), np.float64(-0.029799227504879296))"
2.66,"(np.float64(0.0), np.float64(0.035819755743707375), np.float64(-0.028947821004739884))"
2.67,"(np.float64(0.0), np.float64(0.034766233515951275), np.float64(-0.028096414504600476))"
2.68,"(np.float64(0.0), np.float64(0.033712711288195175), np.float64(-0.027245008004461068))"
2.69,"(np.float64(0.0), np.float64(0.03265918906043908), np.float64(-0.026393601504321667))"
2.7,"(np.float64(0.0), np.float64(0.03160566683268298), np.float64(-0.02554219500418226))"
2.71,"(np.float64(0.0), np.float64(0.030552144604926883), np.float64(-0.024690788504042847))"
2.7199999999999998,"(np.float64(0.0), np.float64(0.029498622377170783), np.float64(-0.02383938200390344))"
2.73,"(np.float64(0.0), np.float64(0.028445100149414683), np.float64(-0.02298797550376403))"
2.74,"(np.float64(0.0), np.float64(0.027391577921658583), np.float64(-0.02213656900362462))"
2.75,"(np.float64(0.0), np.float64(0.026338055693902483), np.float64(-0.02128516250348521))"
2.76,"(np.float64(0.0), np.float64(0.025284533466146383), np.float64(-0.020433756003345804))"
2.77,"(np.float64(0.0), np.float64(0.024231011238390283), np.float64(-0.019582349503206392))"
2.7800000000000002,"(np.float64(0.0), np.float64(0.023177489010634184), np.float64(-0.018730943003066984))"
2.79,"(np.float64(0.0), np.float64(0.022123966782878084), np.float64(-0.017879536502927576))"
2.8,"(np.float64(0.0), np.float64(0.02107044455512198), np.float64(-0.017028130002788164))"
2.81,"(np.float64(0.0), np.float64(0.02001692232736588), np.float64(-0.016176723502648756))"
2.82,"(np.float64(0.0), np.float64(0.018963400099609794), np.float64(-0.015325317002509357))"
2.83,"(np.float64(0.0), np.float64(0.01790987787185369), np.float64(-0.014473910502369947))"
2.84,"(np.float64(0.0), np.float64(0.01685635564409759), np.float64(-0.013622504002230537))"
2.85,"(np.float64(0.0), np.float64(0.01580283341634149), np.float64(-0.01277109750209113))"
2.86,"(np.float64(0.0), np.float64(0.014749311188585391), np.float64(-0.01191969100195172))"
2.87,"(np.float64(0.0), np.float64(0.013695788960829292), np.float64(-0.01106828450181231))"
2.88,"(np.float64(0.0), np.float64(0.012642266733073192), np.float64(-0.010216878001672902))"
2.89,"(np.float64(0.0), np.float64(0.011588744505317092), np.float64(-0.009365471501533492))"
2.9,"(np.float64(0.0), np.float64(0.01053522227756099), np.float64(-0.008514065001394082))"
2.91,"(np.float64(0.0), np.float64(0.00948170004980489), np.float64(-0.007662658501254673))"
2.92,"(np.float64(0.0), np.float64(0.00842817782204879), np.float64(-0.006811252001115264))"
2.93,"(np.float64(0.0), np.float64(0.0073746555942926905), np.float64(-0.0059598455009758555))"
2.94,"(np.float64(0.0), np.float64(0.006321133366536602), np.float64(-0.005108439000836455))"
2.95,"(np.float64(0.0), np.float64(0.005267611138780501), np.float64(-0.004257032500697046))"
2.96,"(np.float64(0.0), np.float64(0.004214088911024401), np.float64(-0.003405626000557637))"
2.9699999999999998,"(np.float64(0.0), np.float64(0.003160566683268301), np.float64(-0.0025542195004182276))"
2.98,"(np.float64(0.0), np.float64(0.0021070444555122006), np.float64(-0.0017028130002788185))"
2.99,"(np.float64(0.0), np.float64(0.0010535222277561003), np.float64(-0.0008514065001394092))"
3.0,"(np.float64(0.0), np.float64(0.0), np.float64(0.0))"
3.01,"(np.float64(0.001145563248829417), np.float64(-0.0005935428408411214), np.float64(0.0003205115086154399))"
3.02,"(np.float64(0.002291126497658834), np.float64(-0.0011870856816822428), np.float64(0.0006410230172308798))"
3.03,"(np.float64(0.0034366897464882507), np.float64(-0.0017806285225233642), np.float64(0.0009615345258463196))"
3.04,"(np.float64(0.004582252995317668), np.float64(-0.0023741713633644856), np.float64(0.0012820460344617596))"
3.05,"(np.float64(0.005727816244147085), np.float64(-0.002967714204205607), np.float64(0.0016025575430771996))"
3.06,"(np.float64(0.006873379492976501), np.float64(-0.0035612570450467285), np.float64(0.0019230690516926392))"
3.07,"(np.float64(0.00801894274180592), np.float64(-0.00415479988588785), np.float64(0.0022435805603080797))"
3.08,"(np.float64(0.009164505990635336), np.float64(-0.004748342726728971), np.float64(0.0025640920689235193))"
3.09,"(np.float64(0.010310069239464752), np.float64(-0.005341885567570093), np.float64(0.002884603577538959))"
3.1,"(np.float64(0.01145563248829417), np.float64(-0.005935428408411214), np.float64(0.0032051150861543993))"
